Other,Data
1,Average
1,Average
1,Average
1,Average
0,Low
0,Low
0,Low
2,High
0,Low
1,Average
0,Low
0,Low
1,Average
1,Average
0,Low
1,Average
1,Average
0,Low
0,Low
1,Average
0,Low
2,High
2,High
2,High
0,Low
0,Low
1,Average
1,Average
0,Low
0,Low
0,Low
1,Average
2,High
0,Low
2,High
0,Low
1,Average
2,High
0,Low
1,Average
0,Low
1,Average
2,High
0,Low
0,Low
2,High
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
1,Average
0,Low
2,High
0,Low
0,Low
2,High
2,High
1,Average
0,Low
1,Average
0,Low
0,Low
0,Low
0,Low
1,Average
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
1,Average
2,High
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
1,Average
1,Average
0,Low
1,Average
1,Average
0,Low
0,Low
0,Low
0,Low
2,High
0,Low
0,Low
1,Average
2,High
0,Low
2,High
2,High
2,High
0,Low
1,Average
1,Average
2,High
1,Average
1,Average
0,Low
0,Low
1,Average
1,Average
1,Average
0,Low
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
0,Low
0,Low
1,Average
1,Average
1,Average
2,High
0,Low
0,Low
0,Low
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
1,Average
0,Low
0,Low
2,High
0,Low
1,Average
1,Average
0,Low
0,Low
1,Average
1,Average
0,Low
0,Low
1,Average
0,Low
2,High
0,Low
0,Low
1,Average
1,Average
0,Low
0,Low
1,Average
1,Average
2,High
1,Average
1,Average
2,High
2,High
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
1,Average
1,Average
0,Low
1,Average
0,Low
1,Average
1,Average
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
1,Average
0,Low
2,High
1,Average
1,Average
2,High
2,High
1,Average
2,High
1,Average
1,Average
1,Average
0,Low
2,High
2,High
1,Average
0,Low
2,High
0,Low
1,Average
1,Average
1,Average
1,Average
1,Average
1,Average
1,Average
1,Average
0,Low
1,Average
0,Low
1,Average
0,Low
2,High
1,Average
0,Low
0,Low
0,Low
1,Average
1,Average
1,Average
2,High
1,Average
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
1,Average
0,Low
0,Low
0,Low
1,Average
2,High
1,Average
0,Low
0,Low
0,Low
2,High
1,Average
2,High
1,Average
0,Low
0,Low
1,Average
1,Average
1,Average
2,High
0,Low
1,Average
0,Low
1,Average
0,Low
0,Low
0,Low
2,High
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
1,Average
0,Low
1,Average
1,Average
0,Low
0,Low
1,Average
1,Average
1,Average
1,Average
1,Average
1,Average
1,Average
1,Average
0,Low
0,Low
1,Average
2,High
1,Average
1,Average
1,Average
1,Average
0,Low
1,Average
1,Average
0,Low
2,High
0,Low
0,Low
2,High
1,Average
1,Average
2,High
2,High
2,High
2,High
2,High
1,Average
1,Average
1,Average
1,Average
1,Average
2,High
1,Average
2,High
1,Average
1,Average
2,High
2,High
1,Average
2,High
2,High
1,Average
2,High
0,Low
0,Low
2,High
1,Average
0,Low
2,High
2,High
1,Average
0,Low
1,Average
0,Low
1,Average
0,Low
2,High
1,Average
2,High
2,High
0,Low
0,Low
1,Average
0,Low
1,Average
0,Low
2,High
1,Average
0,Low
2,High
0,Low
0,Low
0,Low
0,Low
1,Average
1,Average
1,Average
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
1,Average
2,High
0,Low
0,Low
1,Average
1,Average
1,Average
0,Low
1,Average
0,Low
1,Average
1,Average
0,Low
2,High
2,High
2,High
0,Low
2,High
0,Low
2,High
2,High
2,High
2,High
0,Low
1,Average
2,High
0,Low
0,Low
1,Average
1,Average
0,Low
2,High
0,Low
0,Low
0,Low
1,Average
1,Average
0,Low
1,Average
1,Average
0,Low
0,Low
0,Low
2,High
0,Low
0,Low
0,Low
1,Average
1,Average
1,Average
0,Low
1,Average
1,Average
0,Low
1,Average
0,Low
1,Average
0,Low
0,Low
2,High
1,Average
1,Average
0,Low
2,High
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
0,Low
0,Low
0,Low
1,Average
1,Average
0,Low
2,High
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
0,Low
2,High
0,Low
0,Low
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
2,High
0,Low
1,Average
0,Low
1,Average
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
1,Average
0,Low
1,Average
0,Low
2,High
0,Low
1,Average
2,High
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
2,High
0,Low
0,Low
1,Average
1,Average
1,Average
1,Average
1,Average
0,Low
2,High
1,Average
1,Average
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
1,Average
1,Average
0,Low
0,Low
1,Average
2,High
2,High
2,High
1,Average
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
2,High
0,Low
0,Low
0,Low
1,Average
2,High
2,High
2,High
2,High
2,High
1,Average
0,Low
1,Average
2,High
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
2,High
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
0,Low
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
2,High
1,Average
1,Average
2,High
2,High
2,High
2,High
1,Average
1,Average
1,Average
1,Average
2,High
2,High
2,High
2,High
2,High
0,Low
1,Average
2,High
1,Average
1,Average
1,Average
2,High
0,Low
1,Average
1,Average
2,High
2,High
2,High
0,Low
2,High
2,High
1,Average
1,Average
1,Average
2,High
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
1,Average
0,Low
